"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-08","12.08","0.00","0.0","0.0",,"78","54",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-09","5.37","0.00","0.0","0.0",,"71","47",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-10","6.71","0.00","0.0","0.0",,"59","50",,,,,"    1",,,,,,,,,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-11","8.50","0.00","0.0","0.0",,"84","58",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-12","8.05","0.00","0.0","0.0",,"86","70",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-13","5.82","0.00","0.0","0.0",,"87","69","    1",,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-14","2.01","0.00","0.0","0.0",,"87","69",,,,,,,,"    1",,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-15","6.26","0.00","0.0","0.0",,"88","69","    1",,,,,,,"    1",,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-16","4.47","0.23","0.0","0.0",,"80","67","    1",,,,"    1",,,"    1",,,,"    1",,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-17","5.37","0.00","0.0","0.0",,"82","64","    1",,,,,,,"    1",,,,"    1",,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-18","6.26","0.00","0.0","0.0",,"83","60",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-19","2.91","0.00","0.0","0.0",,"80","53","    1",,,,,,,,,,,"    1",,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-20","5.59","1.72","0.0","0.0",,"85","64","    1","    1","    1",,"    1",,,,,,,"    1",,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-21","2.24","1.64","0.0","0.0",,"77","64","    1","    1","    1",,"    1",,,,,,,"    1",,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-22","2.91","0.00","0.0","0.0",,"89","67",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-23","2.68","0.00","0.0","0.0",,"91","70",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-24","4.03","1.70","0.0","0.0",,"91","67","    1",,"    1",,"    1",,,,,,,,,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-25","5.82","0.00","0.0","0.0",,"82","66",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-26","3.80","0.00","0.0","0.0",,"86","64",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-27","5.14","0.00","0.0","0.0",,"88","66","    1",,,,,,,"    1",,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-28","4.25","0.12","0.0","0.0",,"89","66","    1",,"    1",,"    1",,"    1","    1",,,,,,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-29","5.37","0.64","0.0","0.0",,"82","66","    1",,"    1",,"    1",,,,,,,"    1",,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-30","4.03","0.77","0.0","0.0",,"78","67","    1",,"    1",,,,,"    1",,,,,,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-05-31","4.25","0.03","0.0","0.0",,"83","68",,,,,"    1",,,,,,,,,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-06-01","2.24","0.00","0.0","0.0",,"87","70","    1",,"    1",,,,"    1","    1",,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-06-02","5.14","0.00","0.0","0.0",,"88","68","    1",,"    1",,"    1",,,"    1",,,,"    1",,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-06-03","3.58","0.01","0.0","0.0",,"87","68",,,,,,,,,,,,,,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-06-04","4.25","0.11","0.0","0.0",,"87","73","    1",,"    1",,,,,,,,,,,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-06-05","6.71","0.01","0.0","0.0",,"89","74","    1",,"    1",,"    1",,,,,,,,,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-06-06","9.40","0.00","0.0","0.0",,"88","71",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-06-07","3.80","0.00","0.0","0.0",,"85","64",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-06-08","3.36","0.00","0.0","0.0",,"88","66",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-06-09","6.49","0.00","0.0","0.0",,"91","72","    1",,"    1",,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-06-10","4.47","0.00","0.0","0.0",,"91","73",,,,,,,,"    1",,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-06-11","4.92","0.00","0.0","0.0",,"91","77",,,,,,,,"    1",,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-06-12","2.91","0.00","0.0","0.0",,"94","76",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-06-13","3.58","0.00","0.0","0.0",,"95","73","    1",,,,,,"    1","    1",,,,"    1",,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-06-14","2.91","1.05","0.0","0.0",,"93","74","    1",,"    1",,"    1",,,"    1",,,,"    1",,"    1",,,,,
